Site,Tree,Range,Fire History,Forest,Soil.PCA
sc3,F1,Santa Catalina Mts.,burned,pine oak,-0.67405815
sc3,F2,Santa Catalina Mts.,burned,pine oak,-0.369668659
sc3,F3,Santa Catalina Mts.,burned,pine oak,0.371240137
sc4,F8,Santa Catalina Mts.,burned,pine oak,0.027399713
sc4,F9,Santa Catalina Mts.,burned,pine oak,0.480046376
sc4,F10,Santa Catalina Mts.,burned,pine oak,0.721322186
sc1,LB024,Santa Catalina Mts.,unburned,pine oak,2.790145221
sc2,LB055,Santa Catalina Mts.,unburned,pine oak,2.205647597
sc2,LB059,Santa Catalina Mts.,unburned,pine oak,1.794248217
sc2,LB057,Santa Catalina Mts.,unburned,pine oak,2.76915645
sc1,LB023,Santa Catalina Mts.,unburned,pine oak,2.722320813
sc1,LB020,Santa Catalina Mts.,unburned,pine oak,0.368328577
p3,F11,Pinaleno Mts.,burned,pine df,-3.601170533
p3,F12,Pinaleno Mts.,burned,pine df,-4.220549049
p3,F13,Pinaleno Mts.,burned,pine df,-3.26152728
p4,F16,Pinaleno Mts.,burned,pine df,-0.752980055
p4,F17,Pinaleno Mts.,burned,pine df,-0.184422165
p4,F18,Pinaleno Mts.,burned,pine df,-0.915067642
p1,NF11,Pinaleno Mts.,unburned,pine,0.740888857
p1,NF12,Pinaleno Mts.,unburned,pine,1.183692603
p1,NF13,Pinaleno Mts.,unburned,pine,-0.706424094
p2,NF16,Pinaleno Mts.,unburned,pine oak,0.300360965
p2,NF17,Pinaleno Mts.,unburned,pine oak,-1.697985891
p2,NF18,Pinaleno Mts.,unburned,pine oak,-0.090944194