Range,Fire history,Class,Count
pinaleno,burned,Agaricomycetes,61
pinaleno,unburned,Agaricomycetes,71
santa.catalina,burned,Agaricomycetes,74
santa.catalina,unburned,Agaricomycetes,56
pinaleno,burned,Archaeorhizomycetes,0
pinaleno,unburned,Archaeorhizomycetes,1
santa.catalina,burned,Archaeorhizomycetes,0
santa.catalina,unburned,Archaeorhizomycetes,0
pinaleno,burned,Dothideomycetes,17
pinaleno,unburned,Dothideomycetes,6
santa.catalina,burned,Dothideomycetes,16
santa.catalina,unburned,Dothideomycetes,18
pinaleno,burned,Eurotiomycetes,0
pinaleno,unburned,Eurotiomycetes,1
santa.catalina,burned,Eurotiomycetes,4
santa.catalina,unburned,Eurotiomycetes,0
pinaleno,burned,Leotiomycetes,3
pinaleno,unburned,Leotiomycetes,10
santa.catalina,burned,Leotiomycetes,5
santa.catalina,unburned,Leotiomycetes,2
pinaleno,burned,Pezizomycetes,27
pinaleno,unburned,Pezizomycetes,8
santa.catalina,burned,Pezizomycetes,10
santa.catalina,unburned,Pezizomycetes,28
pinaleno,burned,Saccharomycetes,1
pinaleno,unburned,Saccharomycetes,0
santa.catalina,burned,Saccharomycetes,0
santa.catalina,unburned,Saccharomycetes,0