Range,Genus,Count
pinaleno,Amanita,4
santa.catalina,Amanita,4
pinaleno,Amphinema,1
santa.catalina,Amphinema,4
pinaleno,Cenococcum,20
santa.catalina,Cenococcum,34
pinaleno,Cortinarius,4
santa.catalina,Cortinarius,1
pinaleno,Helvella,4
santa.catalina,Helvella,6
pinaleno,Hydnobolites,4
santa.catalina,Hydnobolites,5
pinaleno,Inocybe,11
santa.catalina,Inocybe,6
pinaleno,Laccaria,0
santa.catalina,Laccaria,6
pinaleno,Lactarius,15
santa.catalina,Lactarius,11
pinaleno,Peziza,3
santa.catalina,Peziza,7
pinaleno,Phialocephala,8
santa.catalina,Phialocephala,5
pinaleno,Rhizopogon,5
santa.catalina,Rhizopogon,6
pinaleno,Russula,26
santa.catalina,Russula,39
pinaleno,Sebacina,10
santa.catalina,Sebacina,5
pinaleno,Sistotrema,0
santa.catalina,Sistotrema,12
pinaleno,Suillus,5
santa.catalina,Suillus,4
pinaleno,Tomentella,21
santa.catalina,Tomentella,15
pinaleno,Tuber,5
santa.catalina,Tuber,12