Sample,range,burn_status,prec,temp.warmest.quarter,pH.su,po4.p.ppm,so4.s.ppm,b.ppm,fa,shannon
F1,santa.catalina,burned,700.226373,18.98631058,5.666666667,9.966666667,2.633333333,0.506666667,16.36879433,2.094729048
F10,santa.catalina,burned,677.6602524,19.604532,4.7,8.9,4.2,0.503333333,20.45098039,1.747868097
F11,pinaleno,burned,624.6563802,18.18223366,6.566666667,12.86666667,3.833333333,0.586666667,599994,1.791759469
F12,pinaleno,burned,624.6563802,18.18223366,6.566666667,12.86666667,3.833333333,0.586666667,699993,1.945910149
F13,pinaleno,burned,624.6563802,18.18223366,6.566666667,12.86666667,3.833333333,0.586666667,68,2.36938212
F14,pinaleno,burned,624.6563802,18.18223366,6.566666667,12.86666667,3.833333333,0.586666667,599994,1.791759469
F15,pinaleno,burned,624.6563802,18.18223366,6.566666667,12.86666667,3.833333333,0.586666667,27.6039604,2.25385759
F16,pinaleno,burned,609.1860032,18.52339328,5.5,9.7,3.833333333,0.286666667,28.36363636,1.906154747
F17,pinaleno,burned,609.1860032,18.52339328,5.5,9.7,3.833333333,0.286666667,20.45098039,1.747868097
F18,pinaleno,burned,609.1860032,18.52339328,5.5,9.7,3.833333333,0.286666667,27.6039604,2.210253578
F19,pinaleno,burned,609.1860032,18.52339328,5.5,9.7,3.833333333,0.286666667,8.013232514,1.735126457
F2,santa.catalina,burned,700.226373,18.98631058,5.666666667,9.966666667,2.633333333,0.506666667,10.68431002,1.907283999
F20,pinaleno,burned,609.1860032,18.52339328,5.5,9.7,3.833333333,0.286666667,10.40816327,1.886696785
F3,santa.catalina,burned,700.226373,18.98631058,5.666666667,9.966666667,2.633333333,0.506666667,15.35010482,2.205598359
F4,santa.catalina,burned,700.226373,18.98631058,5.666666667,9.966666667,2.633333333,0.506666667,999990,2.302585093
F5,santa.catalina,burned,700.226373,18.98631058,5.666666667,9.966666667,2.633333333,0.506666667,27.6039604,2.25385759
F6,santa.catalina,burned,677.6602524,19.604532,4.7,8.9,4.2,0.503333333,6.393442623,1.695742534
F7,santa.catalina,burned,677.6602524,19.604532,4.7,8.9,4.2,0.503333333,6.927444795,1.907283999
F8,santa.catalina,burned,677.6602524,19.604532,4.7,8.9,4.2,0.503333333,20.45098039,1.747868097
F9,santa.catalina,burned,677.6602524,19.604532,4.7,8.9,4.2,0.503333333,13.8019802,1.560710409
LB019,santa.catalina,unburned,683.2906347,19.42297029,5.233333333,8.933333333,14.6,0.243333333,3.852713178,1.277034259
LB020,santa.catalina,unburned,683.2906347,19.42297029,5.233333333,8.933333333,14.6,0.243333333,8.013232514,1.676987774
LB021,santa.catalina,unburned,683.2906347,19.42297029,5.233333333,8.933333333,14.6,0.243333333,299997,1.098612289
LB023,santa.catalina,unburned,683.2906347,19.42297029,5.233333333,8.933333333,14.6,0.243333333,18.98550725,2.025326221
LB024,santa.catalina,unburned,683.2906347,19.42297029,5.233333333,8.933333333,14.6,0.243333333,5.864818024,1.386294361
LB055,santa.catalina,unburned,712.1216163,18.64670493,5.033333333,5.633333333,19,0.263333333,18.98550725,2.025326221
LB056,santa.catalina,unburned,712.1216163,18.64670493,5.033333333,5.633333333,19,0.263333333,20.45098039,1.747868097
LB057,santa.catalina,unburned,712.1216163,18.64670493,5.033333333,5.633333333,19,0.263333333,10.91252955,1.732867951
LB058,santa.catalina,unburned,712.1216163,18.64670493,5.033333333,5.633333333,19,0.263333333,12.79365079,2.138397246
LB059,santa.catalina,unburned,712.1216163,18.64670493,5.033333333,5.633333333,19,0.263333333,35.11764706,2.043191871
LB060,santa.catalina,unburned,712.1216163,18.64670493,5.033333333,5.633333333,19,0.263333333,5.864818024,1.559581156
NF11,pinaleno,unburned,567.6628378,19.36051558,4.533333333,2.263333333,9.366666667,0.373333333,18.98550725,2.025326221
NF12,pinaleno,unburned,567.6628378,19.36051558,4.533333333,2.263333333,9.366666667,0.373333333,13.8019802,1.560710409
NF13,pinaleno,unburned,567.6628378,19.36051558,4.533333333,2.263333333,9.366666667,0.373333333,10.91252955,1.667461933
NF14,pinaleno,unburned,567.6628378,19.36051558,4.533333333,2.263333333,9.366666667,0.373333333,18.98550725,2.025326221
NF15,pinaleno,unburned,567.6628378,19.36051558,4.533333333,2.263333333,9.366666667,0.373333333,8.469026549,1.767761472
NF16,pinaleno,unburned,572.7170368,19.27749696,5.366666667,2.9,6.2,0.343333333,5.456264775,1.039720771
NF17,pinaleno,unburned,572.7170368,19.27749696,5.366666667,2.9,6.2,0.343333333,10.40816327,1.886696785
NF18,pinaleno,unburned,572.7170368,19.27749696,5.366666667,2.9,6.2,0.343333333,8.013232514,1.676987774
NF19,pinaleno,unburned,572.7170368,19.27749696,5.366666667,2.9,6.2,0.343333333,199998,0.693147181
NF20,pinaleno,unburned,572.7170368,19.27749696,5.366666667,2.9,6.2,0.343333333,18.98550725,2.025326221