tree_number,elevation,pH.su,EC.ds.m,ca.ppm,mg.ppm,na.ppm,k.ppm,zn.ppm,fe.ppm,mn.ppm,cu.ppm,ni.ppm,no3.n.ppm,po4.p.ppm,so4.s.ppm,b.ppm,esp,cec.meq.100g
F1,2183.6,5.9,0.08,650,95,16,77,9.7,49,17,1.3,0.055,1.6,8.6,2.4,0.55,1.6,4.3
F2,2183.6,5.8,0.08,580,75,9,96,7,38,23,1.3,0.032,0,13,2.5,0.48,1,3.8
F3,2183.6,5.3,0.04,310,42,10,46,2,31,43,1.1,0.026,2.8,8.3,3,0.49,2.1,2.1
F8,2181.8,5,0.05,330,55,11,75,2.3,38,26,0.76,0.037,3.5,8.3,2.1,0.46,2,2.3
F9,2181.8,4.1,0.09,370,56,11,100,5.6,150,28,7,0.21,1.5,8.4,7.2,0.61,1.8,2.6
F10,2181.8,5,0.1,380,54,21,74,2.8,83,37,1.1,0.054,0,10,3.3,0.44,3.5,2.6
LB024,2170,5.1,0.04,230,37,6.8,35,2.5,42,30,0.92,0.04,<1.0,6.6,18,0.2,1.9,1.6
LB055,2201,5.2,0.08,270,39,8.2,93,1.2,67,16,0.72,0.07,<1.0,6.5,19,0.2,1.8,1.9
LB059,2201,5.1,0.03,420,61,10,90,4.4,71,36,1.4,0.1,<1.0,6.4,19,0.32,1.5,2.9
LB057,2201,4.8,0.04,300,44,6.4,46,2,65,24,0.98,0.06,<1.0,4,19,0.27,1.4,2
LB023,2170,5.2,0.05,250,37,9.2,63,2,78,12,0.76,0.05,<1.0,6.2,21,0.17,2.3,1.8
LB020,2170,5.4,0.09,650,65,14,74,8.4,71,89,7,0.18,0.88,14,4.8,0.36,1.5,4