Genus,Phyla,Fire.history,Ab.fire
Cenococcum,Ascomyota,FA,30
Tuber,Ascomyota,FA,5
Inocybe,Basidiomycota,FA,10
Laccaria,Basidiomycota,FA,0
Lactarius,Basidiomycota,FA,12
Rhizopogon,Basidiomycota,FA,4
Russula,Basidiomycota,FA,35
Sebacina,Basidiomycota,FA,10
Sistotrema,Basidiomycota,FA,9
Suillus,Basidiomycota,FA,8
Tomentella,Basidiomycota,FA,19
Cenococcum,Ascomyota,FU,24
Tuber,Ascomyota,FU,12
Inocybe,Basidiomycota,FU,7
Laccaria,Basidiomycota,FU,6
Lactarius,Basidiomycota,FU,14
Rhizopogon,Basidiomycota,FU,7
Russula,Basidiomycota,FU,30
Sebacina,Basidiomycota,FU,5
Sistotrema,Basidiomycota,FU,3
Suillus,Basidiomycota,FU,1
Tomentella,Basidiomycota,FU,17